8001,Message-Topic,audits,waste
8002,Other,chairs,company
8003,Other,master,stick
8004,Entity-Destination,body,reservoir
8005,Other,strains,birds
8006,Other,Other,Other
8007,Other,parents,child
8008,Other,computer,hookup
8009,Component-Whole,room,apartment
8010,Other,thesis,clinicalcharacteristics
8011,Entity-Destination,survivors,houses
8012,Product-Producer,advice,maker
8013,Other,space,mission
8014,Other,yards,optimum
8015,Entity-Origin,gift,friend
8016,Component-Whole,care,male
8017,Other,airport,actress
8018,Other,works,FTP
8019,Member-Collection,beasts,zoo
8020,Other,song,musician
8021,Other,spirituality,outline
8022,Content-Container,bomb,suitcase
8023,Product-Producer,software,company
8024,Other,event,crew
8025,Entity-Origin,oil,sesame
8026,Instrument-Agency,abode,Mileson
8027,Other,workers,team
8028,Instrument-Agency,dramas,stage
8029,Other,museums,drawings
8030,Entity-Origin,mixture,epochs
8031,Other,Other,Other
8032,Other,stories,pieces
8033,Component-Whole,steps,stairs
8034,Content-Container,blisters,mouth
8035,Other,luff,man
8036,Instrument-Agency,amplifier,circuit
8037,Other,Other,Other
8038,Other,ink,cartridge
8039,Member-Collection,whales,pod
8040,Cause-Effect,parasite,Roundworms
8041,Other,Other,Other
8042,Other,Other,Other
8043,Other,decisions,treaty
8044,Entity-Destination,oil,ocean
8045,Other,village,wave
8046,Content-Container,coins,box
8047,Content-Container,space,drawer
8048,Other,bottle,container
8049,Other,players,programs
8050,Other,father,narrative
8051,Entity-Destination,acid,eyes
8052,Other,huge,room
8053,Member-Collection,magpies,gulp
8054,Other,convocation,proposal
8055,Other,conviction,murders
8056,Member-Collection,monkeys,group
8057,Other,blog,opinions
8058,Cause-Effect,vibrations,movement
8059,Other,diamond,dogs
8060,Other,houses,door
8061,Entity-Origin,wine,grape
8062,Other,Other,Other
8063,Other,Other,Other
8064,Other,organisation,committee
8065,Entity-Destination,clock,presentations
8066,Component-Whole,post,family
8067,Other,soda,combination
8068,Other,Other,Other
8069,Product-Producer,article,authors
8070,Other,responsiblity,authors
8071,Component-Whole,president,university
8072,Entity-Origin,wine,grapes
8073,Other,Other,Other
8074,Entity-Origin,inspector,yard
8075,Other,regulations,force
8076,Other,press,questions
8077,Other,children,exile
8078,Instrument-Agency,bar,father
8079,Entity-Destination,rebound,net
8080,Other,free,student
8081,Component-Whole,bar,seats
