8001,Other,waste,audits
8002,Other,chairs,company
8003,Other,stick,master
8004,Entity-Destination,body,reservoir
8005,Other,strains,birds
8006,Other,Other,Other
8007,Other,parents,child
8008,Member-Collection,users,hookup
8009,Other,room,scene
8010,Other,thesis,disease
8011,Entity-Destination,survivors,houses
8012,Product-Producer,kimchi,maker
8013,Entity-Destination,names,space
8014,Other,yards,optimum
8015,Entity-Origin,gift,friend
8016,Other,nest,male
8017,Other,actress,airport
8018,Entity-Origin,server,FTP
8019,Member-Collection,beasts,zoo
8020,Other,song,musician
8021,Other,outline,spirituality
8022,Content-Container,bomb,suitcase
8023,Message-Topic,software,loans
8024,Other,event,crew
8025,Entity-Origin,oil,sesame
8026,Other,developer,abode
8027,Member-Collection,workers,team
8028,Other,issues,formidable
8029,Other,museums,drawings
8030,Entity-Origin,mixture,epochs
8031,Cause-Effect,viruses,strains
8032,Other,stories,Lipa
8033,Component-Whole,steps,stairs
8034,Content-Container,blisters,mouth
8035,Other,man,luff
8036,Other,Other,Other
8037,Other,symposium,champions
8038,Other,ink,cartridge
8039,Member-Collection,whales,pod
8040,Cause-Effect,parasite,Roundworms
8041,Other,Other,Other
8042,Component-Whole,paw,cat
8043,Other,decisions,treaty
8044,Entity-Destination,oil,ocean
8045,Other,village,wave
8046,Content-Container,coins,plastic
8047,Content-Container,space,drawer
8048,Other,metal,bottle
8049,Other,violence,commented
8050,Other,father,narrative
8051,Other,eyes,acid
8052,Other,canvases,room
8053,Member-Collection,magpies,gulp
8054,Other,convocation,proposal
8055,Cause-Effect,murders,conviction
8056,Entity-Origin,monkeys,enclosure
8057,Other,opinions,blog
8058,Cause-Effect,vibrations,movement
8059,Other,colliers,Poodles
8060,Other,houses,door
8061,Entity-Origin,wine,grape
8062,Other,text,scribe
8063,Other,events,witch
8064,Other,organisation,committee
8065,Entity-Destination,clock,presentations
8066,Other,post,family
8067,Other,soda,combination
8068,Other,Other,Other
8069,Product-Producer,article,authors
8070,Other,comments,responsiblity
8071,Component-Whole,president,university
8072,Entity-Origin,wine,grapes
8073,Cause-Effect,crew,slide
8074,Entity-Origin,inspector,yard
8075,Other,regulations,force
8076,Entity-Origin,questions,press
8077,Other,children,exile
8078,Other,bar,father
8079,Entity-Destination,rebound,net
8080,Other,free,student
8081,Component-Whole,bar,seats
8082,Other,Other,Other
8083,Cause-Effect,fatigue,pain
8084,Component-Whole,claw,hammer
8085,Other,Other,Other
8086,Other,cards,deck
8087,Other,illness,films
8088,Product-Producer,software,company
8089,Other,Other,Other
8090,Other,concepts,debate
8091,Entity-Origin,defendant,custody
8092,Other,Other,Other
8093,Other,dish,cheese
8094,Content-Container,castle,museum
8095,Other,clubs,ownership
8096,Entity-Destination,man,car
8097,Other,Other,Other
8098,Other,consumers,coffeemaker
8099,Other,reaction,probe
8100,Other,audience,questions
8101,Other,chapter,importance
8102,Other,signal,station
8103,Entity-Origin,offenders,officers
8104,Message-Topic,book,beauty
8105,Other,hurricane,oil
8106,Other,adults,studies
8107,Cause-Effect,mutations,diseases
8108,Other,ripple,response
8109,Component-Whole,growth,tree
8110,Other,sewer,Capital
8111,Other,movies,cable
8112,Content-Container,cat,trap
8113,Instrument-Agency,dance,stories
8114,Other,Other,Other
8115,Component-Whole,smell,air
8116,Cause-Effect,laughing,joy
8117,Other,author,lines
8118,Other,tone,receiver
8119,Member-Collection,heavily,squad
8120,Other,tubes,telescope
8121,Entity-Destination,pulp,tub
8122,Other,boats,build
8123,Entity-Origin,samples,milking
8124,Other,blog,novel
8125,Message-Topic,speech,idea
8126,Entity-Origin,flour,rice
8127,Other,student,body
8128,Other,Other,Other
8129,Component-Whole,sheep,farm
8130,Other,bag,laptop
8131,Other,Other,Other
8132,Other,happiness,concerns
8133,Other,caecilians,anurons
8134,Other,home,church
8135,Other,box,camera
8136,Other,Other,Other
8137,Other,animals,bladder
8138,Member-Collection,asses,coffle
8139,Entity-Origin,coloring,coat
8140,Component-Whole,interests,arm
8141,Instrument-Agency,wire,electrician
8142,Entity-Origin,data,epochs
8143,Other,Other,Other
8144,Entity-Origin,parents,station
8145,Other,Department,chief
8146,Other,Other,Other
8147,Content-Container,boots,box
8148,Other,tourists,attractions
8149,Other,guy,car
8150,Other,insulin,fetus
8151,Product-Producer,design,wife
8152,Other,Other,Other
8153,Member-Collection,rabbits,litter
8154,Other,anecdotes,birth
8155,Other,strategies,documents
8156,Other,flame,coating
8157,Component-Whole,plug,box
8158,Other,Kingdom,visit
8159,Other,animation,presentation
8160,Other,implications,publication
8161,Message-Topic,document,drugs
8162,Other,bazooka,game
8163,Entity-Origin,model,example
8164,Other,Researchers,ingredients
8165,Other,mug,ale
8166,Other,canister,vacuum
